time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location
09/04/2020 06:45,7,10,10,10,2,1,1
06/04/2020 16:35,5,2,8,8,8,0,1
06/04/2020 23:35,1,1,0,1,6,1,1
07/04/2020 20:15,5,3,0,5,3,0,1
10/04/2020 02:30,6,0,4,2,4,1,1
06/04/2020 11:40,10,10,7,9,10,1,1
10/04/2020 04:35,10,1,3,5,1,1,1
06/04/2020 11:30,10,9,7,1,6,1,1
10/04/2020 21:10,6,1,7,8,6,1,1
08/04/2020 08:15,8,6,2,1,8,0,1
10/04/2020 21:15,7,9,10,10,8,1,1
09/04/2020 00:35,5,8,2,7,8,1,1
09/04/2020 16:45,10,6,1,10,5,1,1
06/04/2020 04:40,10,3,7,8,2,1,1
07/04/2020 09:55,3,0,10,5,2,1,1
06/04/2020 14:25,10,7,0,0,5,1,1
07/04/2020 11:30,2,10,7,1,9,1,1
06/04/2020 14:15,9,3,5,9,5,1,1
07/04/2020 14:10,10,10,9,5,4,1,1
08/04/2020 01:45,9,10,7,1,10,1,1
06/04/2020 07:40,3,2,1,4,10,1,1
09/04/2020 11:05,2,5,1,10,1,1,1
08/04/2020 20:00,5,9,2,9,10,1,1
07/04/2020 07:50,10,7,4,8,10,1,1
08/04/2020 14:45,4,3,1,2,1,1,1
06/04/2020 11:15,1,4,4,8,8,0,1
08/04/2020 21:05,5,7,5,3,8,1,1
10/04/2020 15:30,8,6,8,3,3,1,1
07/04/2020 14:15,3,7,2,10,0,1,1
09/04/2020 08:05,5,3,1,7,10,1,1
06/04/2020 15:50,8,6,6,4,9,1,1
09/04/2020 14:00,4,9,3,8,2,1,1
07/04/2020 10:45,10,3,0,3,9,1,1
06/04/2020 22:00,1,7,3,3,3,1,1
08/04/2020 22:25,7,1,9,1,6,1,1
06/04/2020 02:25,8,10,5,7,4,1,1
10/04/2020 03:30,1,3,1,5,7,1,1
06/04/2020 00:35,2,10,3,5,5,1,1
09/04/2020 09:20,1,7,7,7,5,1,1
07/04/2020 08:25,1,8,1,10,3,1,1
09/04/2020 16:15,7,10,1,7,8,1,1
10/04/2020 19:30,5,8,7,3,10,1,1
07/04/2020 05:50,10,4,9,10,7,1,1
08/04/2020 21:10,0,5,4,2,10,1,1
08/04/2020 23:05,4,3,2,1,1,1,1
08/04/2020 20:40,1,6,10,10,10,1,1
07/04/2020 02:45,1,9,0,2,7,1,1
10/04/2020 18:20,6,6,10,10,5,1,1
08/04/2020 05:40,6,10,3,9,10,1,1
10/04/2020 05:35,0,2,2,5,4,1,1
09/04/2020 11:55,2,9,4,8,10,0,1
07/04/2020 11:40,3,3,0,8,0,1,1
10/04/2020 01:40,7,5,0,8,5,1,1
07/04/2020 23:35,9,7,10,2,10,1,1
10/04/2020 09:45,2,10,9,2,10,0,1
08/04/2020 21:45,10,9,10,10,10,1,1
10/04/2020 09:50,4,10,3,10,7,1,1
09/04/2020 11:05,9,0,8,10,10,1,1
09/04/2020 15:00,0,10,3,8,8,1,1
08/04/2020 12:10,6,7,0,4,10,1,1
10/04/2020 18:45,9,10,4,1,1,1,1
09/04/2020 05:15,2,1,4,1,6,1,1
08/04/2020 02:50,4,2,0,10,10,1,1
09/04/2020 00:45,7,5,2,0,10,1,1
06/04/2020 02:20,3,0,10,10,6,1,1
07/04/2020 12:10,0,5,5,10,9,1,1
09/04/2020 07:15,5,8,5,2,0,1,1
07/04/2020 10:50,4,9,8,10,2,1,1
09/04/2020 02:10,0,8,2,1,8,1,1
08/04/2020 03:25,2,2,7,7,6,1,1
06/04/2020 16:15,3,10,10,0,6,1,1
07/04/2020 11:50,1,5,3,10,10,1,1
08/04/2020 20:25,7,3,6,2,10,1,1
08/04/2020 22:55,10,1,1,9,3,1,1
08/04/2020 20:55,1,7,0,10,4,1,1
09/04/2020 06:25,3,3,2,3,4,1,1
09/04/2020 06:15,10,10,2,4,4,1,1
08/04/2020 03:45,4,8,5,9,1,1,1
10/04/2020 11:35,10,5,5,10,4,1,1
07/04/2020 20:05,1,10,1,10,10,1,1
08/04/2020 04:20,7,5,10,3,3,0,1
10/04/2020 11:00,4,1,2,0,8,1,1
10/04/2020 00:45,0,10,10,0,10,1,1
09/04/2020 12:30,10,9,8,6,10,1,1
06/04/2020 12:00,2,7,7,4,9,1,1
10/04/2020 14:20,10,10,3,3,2,1,1
09/04/2020 13:45,7,10,7,3,1,1,1
10/04/2020 23:50,4,2,3,1,7,1,1
06/04/2020 17:55,0,1,1,0,8,1,1
10/04/2020 08:10,2,0,0,7,3,1,1
06/04/2020 19:30,6,1,1,8,3,1,1
09/04/2020 01:50,9,0,0,10,9,1,1
06/04/2020 14:50,2,1,8,6,0,1,1
10/04/2020 05:45,4,1,8,10,7,1,1
10/04/2020 00:55,9,6,10,2,7,1,1
08/04/2020 20:20,9,8,5,8,5,1,1
08/04/2020 00:50,5,8,3,8,3,1,1
06/04/2020 08:20,4,10,10,9,10,1,1
09/04/2020 11:40,10,3,10,6,7,1,1
08/04/2020 06:25,4,2,3,4,8,1,1
09/04/2020 14:40,9,0,1,1,5,1,1
10/04/2020 08:00,10,7,0,8,5,1,1
10/04/2020 21:05,8,4,6,5,1,1,1
10/04/2020 06:40,1,6,1,4,7,1,1
06/04/2020 01:25,5,0,6,3,6,1,1
07/04/2020 19:10,7,5,9,10,1,1,1
09/04/2020 15:35,0,3,5,5,8,1,1
06/04/2020 20:35,10,3,10,7,10,1,1
08/04/2020 14:30,1,9,7,6,1,1,1
06/04/2020 06:30,10,10,0,10,2,0,1
07/04/2020 00:00,3,4,10,10,0,0,1
06/04/2020 02:15,9,9,1,6,2,1,1
09/04/2020 23:15,2,0,4,9,10,1,1
07/04/2020 02:50,8,6,9,3,10,1,1
07/04/2020 17:25,2,5,5,3,4,1,1
10/04/2020 15:20,4,3,1,2,4,1,1
09/04/2020 12:30,8,0,6,7,8,1,1
06/04/2020 03:50,2,0,10,3,4,1,1
06/04/2020 19:45,9,1,5,9,7,1,1
09/04/2020 02:35,8,2,4,9,5,1,1
08/04/2020 21:15,7,0,4,5,2,1,1
07/04/2020 04:35,10,10,4,9,3,1,1
10/04/2020 16:05,10,10,7,8,0,1,1
09/04/2020 01:40,8,2,2,3,7,1,1
08/04/2020 16:15,2,2,2,10,9,1,1
08/04/2020 22:45,3,9,6,10,10,1,1
09/04/2020 15:35,3,6,5,8,6,1,1
07/04/2020 13:25,6,7,10,5,9,1,1
07/04/2020 23:45,0,10,10,10,8,1,1
07/04/2020 01:10,10,8,10,9,1,1,1
06/04/2020 22:20,3,9,10,0,10,1,1
10/04/2020 17:20,6,10,3,7,7,1,1
09/04/2020 16:45,10,8,0,0,6,1,1
08/04/2020 10:50,3,2,8,1,8,1,1
07/04/2020 03:15,9,4,8,6,4,1,1
07/04/2020 06:30,6,7,1,6,3,1,1
06/04/2020 07:00,3,7,8,10,5,1,1
08/04/2020 04:10,2,10,7,10,10,0,1
07/04/2020 13:25,2,5,5,4,2,0,1
09/04/2020 11:35,2,10,7,10,0,1,1
07/04/2020 21:20,6,7,9,5,1,1,1
06/04/2020 21:35,4,10,4,7,4,1,1
06/04/2020 03:00,10,2,0,10,10,1,1
06/04/2020 08:05,6,4,7,10,0,1,1
09/04/2020 09:30,0,1,2,6,10,1,1
08/04/2020 06:25,4,1,3,0,5,1,1
08/04/2020 16:25,9,1,9,1,8,1,1
10/04/2020 11:35,2,7,5,10,3,1,1
10/04/2020 22:50,1,9,4,10,9,1,1
07/04/2020 02:00,6,0,0,10,1,1,1
09/04/2020 07:35,1,9,10,6,5,1,1
07/04/2020 07:35,7,10,10,6,10,1,1
06/04/2020 02:30,5,0,4,4,10,1,1
09/04/2020 19:00,6,2,5,2,10,1,1
07/04/2020 14:25,1,1,10,2,9,1,1
07/04/2020 22:00,10,4,8,10,0,1,1
08/04/2020 22:35,6,6,1,4,8,1,1
10/04/2020 03:45,6,0,4,10,10,1,1
09/04/2020 03:30,6,6,8,4,1,1,1
10/04/2020 08:45,6,6,0,3,6,1,1
07/04/2020 08:50,10,10,1,1,9,1,1
09/04/2020 23:45,2,2,1,0,7,1,1
06/04/2020 22:15,5,8,8,6,10,1,1
10/04/2020 18:20,2,6,9,6,1,1,1
09/04/2020 10:30,2,6,4,0,4,1,1
07/04/2020 01:50,3,5,9,9,10,1,1
10/04/2020 17:40,2,2,0,8,9,1,1
09/04/2020 15:40,9,5,3,9,8,1,1
07/04/2020 06:30,3,0,0,5,10,1,1
07/04/2020 01:35,8,10,7,2,10,1,1
08/04/2020 14:10,5,3,0,9,6,1,1
06/04/2020 03:05,4,9,8,8,7,1,1
07/04/2020 00:55,5,9,10,4,5,0,1
08/04/2020 03:00,10,7,1,4,7,1,1
07/04/2020 20:55,1,10,2,0,8,1,1
08/04/2020 07:40,10,10,8,10,10,1,1
07/04/2020 09:20,5,0,5,10,10,1,1
08/04/2020 22:25,8,10,8,2,10,1,1
10/04/2020 07:40,2,4,2,5,5,1,1
06/04/2020 14:05,9,1,1,7,1,1,1
08/04/2020 14:05,9,3,3,7,4,1,1
06/04/2020 15:50,5,5,5,1,7,1,1
09/04/2020 14:00,6,7,0,3,8,1,1
07/04/2020 23:30,4,6,2,2,7,1,1
08/04/2020 19:50,0,10,5,0,7,1,1
06/04/2020 22:00,8,10,8,3,9,1,1
06/04/2020 17:25,10,2,6,2,9,1,1
08/04/2020 10:35,5,7,2,2,0,1,1
07/04/2020 18:40,5,3,7,10,6,0,1
10/04/2020 16:50,5,4,7,2,3,1,1
09/04/2020 19:50,10,9,1,3,7,1,1
09/04/2020 17:50,1,7,10,5,2,1,1
10/04/2020 12:25,0,0,8,10,6,1,1
06/04/2020 10:00,0,0,4,1,3,1,1
08/04/2020 18:15,0,1,9,7,5,1,1
08/04/2020 22:10,0,8,10,10,8,1,1
10/04/2020 19:25,10,3,3,5,9,1,1
07/04/2020 11:05,0,5,3,10,5,1,1
07/04/2020 04:55,10,10,2,3,10,1,1
06/04/2020 12:00,7,0,9,10,0,1,1
06/04/2020 02:00,6,1,0,10,10,1,1
10/04/2020 15:35,3,10,10,9,6,1,1
09/04/2020 08:25,5,1,4,10,9,1,1
09/04/2020 22:15,4,3,6,3,10,1,1
07/04/2020 09:50,3,7,4,10,1,1,1
08/04/2020 22:20,4,9,3,0,4,1,1
06/04/2020 07:40,5,3,2,6,10,1,1
08/04/2020 10:15,10,7,3,3,7,1,1
10/04/2020 21:20,1,0,1,6,5,1,1
10/04/2020 09:10,3,2,1,10,2,1,1
07/04/2020 16:35,6,4,2,9,10,0,1
10/04/2020 19:25,7,10,10,5,6,1,1
07/04/2020 03:50,4,4,7,1,4,1,1
10/04/2020 17:55,0,6,2,9,10,1,1
10/04/2020 17:00,0,0,7,3,7,1,1
09/04/2020 23:55,7,1,0,10,3,1,1
09/04/2020 03:40,10,7,1,3,6,1,1
10/04/2020 08:55,3,6,8,9,10,1,1
07/04/2020 11:10,3,5,0,10,10,1,1
10/04/2020 05:50,0,5,10,7,7,1,1
09/04/2020 02:10,0,7,5,8,10,1,1
06/04/2020 01:35,9,10,2,4,0,1,1
07/04/2020 17:40,4,3,8,7,6,1,1
06/04/2020 17:45,4,10,0,10,4,1,1
10/04/2020 21:50,5,6,4,8,2,1,1
08/04/2020 09:25,8,8,0,9,10,1,1
08/04/2020 11:40,8,8,3,4,3,1,1
09/04/2020 04:45,0,2,8,1,2,1,1
07/04/2020 20:15,1,10,1,5,10,1,1
06/04/2020 16:25,5,1,10,10,0,1,1
10/04/2020 02:40,9,0,10,0,9,1,1
06/04/2020 22:45,9,8,6,3,5,1,1
08/04/2020 13:20,6,10,4,6,8,1,1
07/04/2020 02:55,1,7,6,3,1,1,1
06/04/2020 11:45,4,7,10,0,0,1,1
10/04/2020 07:30,0,0,9,3,9,1,1
10/04/2020 20:45,4,4,10,10,10,1,1
10/04/2020 19:20,7,10,10,6,5,1,1
10/04/2020 12:45,7,10,6,9,10,1,1
09/04/2020 20:55,10,8,10,5,10,1,1
07/04/2020 16:00,7,0,4,10,9,1,1
06/04/2020 09:45,6,4,7,1,10,1,1
08/04/2020 00:50,2,5,2,7,10,1,1
07/04/2020 03:50,6,7,9,10,2,1,1
06/04/2020 15:55,0,2,8,3,1,1,1
06/04/2020 06:25,10,4,0,4,10,1,1
09/04/2020 15:05,2,9,8,10,10,1,1
06/04/2020 01:20,10,7,6,7,3,1,1
09/04/2020 20:30,7,5,2,0,0,1,1
06/04/2020 17:40,7,0,6,3,10,1,1
06/04/2020 09:35,10,4,10,5,6,1,1
06/04/2020 10:45,2,9,9,6,0,1,1
09/04/2020 08:40,6,4,5,10,7,1,1
07/04/2020 05:25,1,0,3,10,9,0,1
08/04/2020 02:30,3,2,7,6,3,1,1
08/04/2020 18:55,7,5,10,7,10,1,1
10/04/2020 07:15,10,5,8,4,8,1,1
09/04/2020 15:15,0,3,3,10,4,1,1
07/04/2020 08:25,5,0,8,7,4,1,1
06/04/2020 15:45,4,0,8,2,5,1,1
06/04/2020 06:40,5,1,9,0,1,1,1
07/04/2020 12:10,5,9,9,1,6,1,1
07/04/2020 07:25,3,9,4,6,8,1,1
08/04/2020 06:45,10,2,10,5,6,1,1
09/04/2020 10:00,8,1,10,9,10,1,1
09/04/2020 11:30,0,0,4,4,1,0,1
07/04/2020 10:00,1,1,1,8,4,1,1
07/04/2020 21:35,5,6,0,7,4,1,1
06/04/2020 21:45,4,3,7,8,10,0,1
09/04/2020 22:40,1,4,6,6,9,1,1
06/04/2020 06:50,5,3,2,1,8,1,1
09/04/2020 11:40,0,6,1,4,6,1,1
09/04/2020 21:25,6,4,0,10,2,1,1
09/04/2020 21:15,8,2,6,8,3,1,1
07/04/2020 07:10,8,3,10,5,8,1,1
07/04/2020 20:50,6,6,1,1,0,1,1
08/04/2020 22:30,3,3,6,6,5,1,1
07/04/2020 08:45,4,3,7,10,8,1,1
07/04/2020 20:30,4,8,1,2,7,1,1
06/04/2020 23:40,10,1,5,10,5,1,1
08/04/2020 07:10,10,3,2,10,6,1,1
06/04/2020 05:20,10,10,0,7,5,0,1
10/04/2020 00:00,3,3,2,10,7,1,1
06/04/2020 09:15,6,1,6,10,10,1,1
08/04/2020 14:15,5,5,6,5,10,1,1
07/04/2020 12:50,10,3,3,7,4,1,1
08/04/2020 21:20,9,6,5,9,10,1,1
10/04/2020 19:10,8,10,4,6,10,1,1
09/04/2020 05:30,1,4,7,6,2,1,1
06/04/2020 04:15,3,8,3,3,6,1,1
08/04/2020 03:40,8,5,10,9,6,1,1
08/04/2020 13:10,10,7,2,9,8,1,1
08/04/2020 16:20,10,10,6,10,1,0,1
09/04/2020 09:45,1,10,9,3,0,1,1
07/04/2020 09:20,5,1,1,4,5,1,1
06/04/2020 15:30,8,10,10,4,0,1,1
07/04/2020 23:05,0,8,5,1,10,1,1
10/04/2020 18:45,3,2,1,3,1,1,1
06/04/2020 22:25,7,0,9,9,4,1,1
10/04/2020 12:30,1,0,3,5,10,1,1
08/04/2020 17:15,7,4,1,1,1,1,1
08/04/2020 06:50,8,2,10,9,9,1,1
10/04/2020 09:50,0,10,0,7,0,1,1
08/04/2020 07:00,7,1,7,5,3,1,1
09/04/2020 14:55,5,10,3,4,9,1,1
07/04/2020 23:55,10,2,9,10,3,1,1
10/04/2020 12:30,9,2,6,2,10,1,1
09/04/2020 10:50,9,3,4,0,0,1,1
09/04/2020 11:55,6,4,4,8,8,1,1
07/04/2020 15:20,8,10,3,7,2,1,1
09/04/2020 18:50,7,7,5,1,5,1,1
09/04/2020 04:20,5,5,4,1,4,1,1
07/04/2020 04:50,9,1,4,1,2,1,1
06/04/2020 19:15,1,10,9,9,4,1,1
09/04/2020 23:35,0,3,0,7,2,1,1
10/04/2020 19:05,0,1,0,4,0,1,1
08/04/2020 07:00,10,0,9,8,1,1,1
08/04/2020 22:55,5,1,5,6,5,1,1
10/04/2020 06:55,6,4,0,1,10,1,1
08/04/2020 06:50,3,10,6,2,5,0,1
10/04/2020 10:30,10,1,4,4,5,2,2
09/04/2020 12:10,7,6,6,4,9,2,2
06/04/2020 08:10,10,10,8,4,3,0,2
08/04/2020 12:05,0,5,2,4,4,2,2
07/04/2020 10:25,6,0,1,4,10,2,2
07/04/2020 10:15,0,10,10,9,9,2,2
07/04/2020 18:45,2,10,2,4,6,2,2
07/04/2020 13:45,6,8,8,4,10,2,2
08/04/2020 21:25,8,8,10,4,2,2,2
09/04/2020 10:00,8,3,3,4,8,2,2
07/04/2020 08:15,6,7,10,4,10,2,2
06/04/2020 15:35,3,10,6,4,10,2,2
06/04/2020 07:05,2,10,1,4,5,2,2
08/04/2020 21:05,3,5,7,4,5,2,2
06/04/2020 22:20,1,2,9,4,8,2,2
06/04/2020 01:05,10,9,3,4,9,1,2
10/04/2020 15:20,4,10,0,4,9,2,2
08/04/2020 16:25,0,5,5,4,8,1,2
06/04/2020 11:05,8,0,9,4,10,2,2
10/04/2020 05:10,2,10,8,4,7,2,2
10/04/2020 22:00,6,4,7,4,1,2,2
08/04/2020 05:50,7,9,5,4,9,2,2
06/04/2020 05:05,10,6,6,4,6,2,2
06/04/2020 14:05,7,2,8,4,8,2,2
07/04/2020 21:50,8,6,3,4,7,1,2
10/04/2020 10:15,0,1,9,4,8,2,2
06/04/2020 17:45,2,4,6,4,5,2,2
10/04/2020 02:55,1,7,0,4,7,2,2
06/04/2020 01:50,6,3,9,4,0,1,2
08/04/2020 06:55,3,10,5,4,8,2,2
09/04/2020 05:20,10,7,1,4,10,2,2
06/04/2020 07:15,6,0,10,4,10,2,2
09/04/2020 01:45,7,5,9,4,10,2,2
10/04/2020 17:20,9,2,3,4,8,2,2
06/04/2020 19:15,4,8,0,4,3,2,2
09/04/2020 15:35,0,9,3,4,10,1,2
09/04/2020 01:05,8,5,2,4,2,2,2
06/04/2020 22:15,2,0,10,4,10,2,2
06/04/2020 00:45,10,6,1,4,5,2,2
06/04/2020 01:05,3,0,1,4,7,2,2
08/04/2020 15:50,2,1,1,4,7,0,2
10/04/2020 17:10,8,3,7,4,6,2,2
09/04/2020 05:20,0,4,8,4,0,2,2
09/04/2020 13:45,6,6,4,4,3,2,2
08/04/2020 11:15,6,0,2,4,2,2,2
08/04/2020 21:50,9,7,3,4,9,2,2
06/04/2020 15:10,10,4,8,4,10,1,2
10/04/2020 09:15,5,3,7,4,4,2,2
09/04/2020 19:20,9,3,1,4,10,2,2
10/04/2020 23:45,7,3,10,4,5,2,2
07/04/2020 11:45,3,2,9,4,10,0,2
07/04/2020 03:15,6,1,8,4,9,2,2
06/04/2020 15:00,8,3,6,4,1,0,2
10/04/2020 19:40,5,8,9,4,9,2,2
09/04/2020 21:40,2,1,8,9,1,2,2
06/04/2020 20:00,8,9,10,4,0,1,2
08/04/2020 18:20,9,8,0,4,10,0,2
08/04/2020 01:40,1,8,10,4,4,2,2
06/04/2020 18:10,10,4,3,4,4,2,2
06/04/2020 19:25,4,6,10,4,10,2,2
10/04/2020 19:35,0,10,1,4,0,2,2
07/04/2020 12:35,9,3,1,4,2,2,2
10/04/2020 17:00,4,6,1,4,3,2,2
06/04/2020 09:05,7,9,2,4,0,2,2
08/04/2020 07:20,0,5,2,4,8,2,2
06/04/2020 15:35,9,10,4,4,2,2,2
06/04/2020 00:35,1,8,2,4,10,1,2
08/04/2020 18:25,4,9,9,4,8,2,2
06/04/2020 13:40,0,0,10,4,10,2,2
09/04/2020 14:40,0,7,10,4,8,2,2
09/04/2020 11:45,9,10,10,4,5,1,2
06/04/2020 21:10,0,6,10,4,10,2,2
10/04/2020 17:00,3,4,9,4,9,2,2
09/04/2020 14:30,8,10,9,4,2,2,2
07/04/2020 11:45,6,8,7,4,10,2,2
09/04/2020 13:05,2,4,4,4,6,2,2
09/04/2020 15:50,0,5,0,4,0,2,2
07/04/2020 17:05,9,5,10,4,10,2,2
07/04/2020 21:05,6,6,7,4,4,2,2
07/04/2020 19:05,5,7,7,4,6,2,2
09/04/2020 02:00,6,3,4,4,10,2,2
10/04/2020 12:05,10,8,1,4,5,2,2
06/04/2020 20:45,9,10,10,4,10,2,2
10/04/2020 09:00,1,10,6,4,10,2,2
06/04/2020 03:20,4,9,8,4,7,2,2
09/04/2020 07:15,4,1,0,4,6,2,2
08/04/2020 01:45,2,1,4,4,8,2,2
09/04/2020 22:55,9,8,5,4,1,2,2
09/04/2020 14:35,10,1,8,4,0,2,2
08/04/2020 09:35,10,9,6,3,9,2,2
09/04/2020 05:15,2,4,0,4,10,2,2
08/04/2020 12:15,10,8,0,4,8,2,2
10/04/2020 01:25,4,9,7,4,4,2,2
08/04/2020 09:10,9,3,1,4,4,1,2
08/04/2020 14:45,10,1,9,4,5,2,2
07/04/2020 06:05,3,6,0,4,4,2,2
09/04/2020 00:35,3,4,5,4,1,2,2
07/04/2020 12:20,6,9,8,4,10,2,2
08/04/2020 21:15,10,9,1,4,3,2,2
06/04/2020 20:20,10,5,4,4,5,2,2
06/04/2020 19:10,0,0,10,4,3,2,2
08/04/2020 02:05,8,7,1,4,7,2,2
08/04/2020 03:15,9,10,8,4,8,2,2
07/04/2020 08:10,5,6,0,4,9,2,2
06/04/2020 15:45,10,6,2,4,1,2,2
06/04/2020 04:40,5,7,10,4,1,2,2
06/04/2020 03:00,2,2,10,4,2,2,2
07/04/2020 08:35,0,1,8,4,2,2,2
08/04/2020 07:25,4,10,10,4,7,2,2
09/04/2020 15:10,0,1,4,4,9,2,2
08/04/2020 09:00,5,5,0,4,10,2,2
10/04/2020 12:30,2,9,10,4,10,2,2
06/04/2020 04:15,3,2,9,4,10,2,2
06/04/2020 21:40,2,1,9,4,10,2,2
07/04/2020 16:35,9,9,7,4,10,2,2
08/04/2020 21:20,8,1,7,4,5,2,2
10/04/2020 06:20,9,4,3,4,6,2,2
07/04/2020 18:00,0,0,6,4,0,2,2
07/04/2020 08:10,6,3,1,4,8,2,2
06/04/2020 07:25,0,9,10,4,9,2,2
10/04/2020 02:35,9,6,8,4,5,0,2
07/04/2020 21:35,1,5,4,4,4,2,2
08/04/2020 20:35,3,5,5,4,5,2,2
10/04/2020 22:00,5,4,3,4,10,2,2
06/04/2020 00:10,1,7,1,4,2,2,2
06/04/2020 17:25,2,5,10,4,6,2,2
09/04/2020 21:30,10,1,8,4,5,2,2
10/04/2020 00:35,0,2,9,4,6,2,2
09/04/2020 20:20,5,2,5,4,6,2,2
08/04/2020 16:25,6,1,7,4,1,1,2
10/04/2020 21:30,9,1,4,4,2,2,2
07/04/2020 23:35,1,10,3,4,3,2,2
09/04/2020 00:15,2,1,7,4,2,2,2
06/04/2020 07:35,6,9,4,4,5,2,2
08/04/2020 01:10,6,10,10,4,9,0,2
09/04/2020 14:40,7,4,4,4,2,2,2
07/04/2020 04:40,0,8,0,4,9,2,2
10/04/2020 17:15,5,9,7,4,2,2,2
09/04/2020 10:25,4,2,10,4,3,2,2
07/04/2020 10:30,7,5,5,4,0,2,2
09/04/2020 20:15,10,7,3,4,0,2,2
06/04/2020 10:00,4,1,1,4,10,2,2
10/04/2020 21:00,6,1,2,4,10,2,2
06/04/2020 05:55,6,7,7,4,9,2,2
10/04/2020 16:00,8,0,0,4,5,2,2
07/04/2020 06:20,6,1,10,4,10,2,2
09/04/2020 18:55,0,6,4,4,7,1,2
06/04/2020 00:00,2,8,5,4,3,0,2
07/04/2020 06:30,0,6,4,4,9,0,2
09/04/2020 17:55,0,10,2,4,9,2,2
08/04/2020 15:55,8,7,2,4,0,2,2
06/04/2020 13:50,4,7,2,4,10,2,2
07/04/2020 23:15,0,2,1,4,5,2,2
07/04/2020 21:05,1,5,7,4,4,2,2
08/04/2020 20:10,0,10,1,4,1,1,2
09/04/2020 08:10,8,4,9,4,0,2,2
10/04/2020 04:55,5,2,7,4,0,2,2
08/04/2020 11:40,2,1,10,4,0,2,2
07/04/2020 23:05,8,9,7,4,4,2,2
06/04/2020 17:15,0,6,3,4,9,2,2
10/04/2020 00:35,5,10,1,4,4,2,2
09/04/2020 13:35,10,3,7,4,0,2,2
08/04/2020 01:00,0,4,9,4,8,2,2
08/04/2020 14:15,8,5,7,4,7,2,2
09/04/2020 07:50,10,6,10,4,1,2,2
06/04/2020 19:45,5,3,9,4,8,2,2
06/04/2020 03:15,6,7,7,4,9,0,2
07/04/2020 14:05,10,8,10,0,10,1,2
08/04/2020 23:30,10,4,8,4,10,2,2
08/04/2020 10:25,10,1,10,4,6,2,2
09/04/2020 11:05,10,9,3,4,4,0,2
10/04/2020 02:20,9,4,9,4,10,0,2
08/04/2020 10:35,4,7,0,4,8,2,2
06/04/2020 16:05,4,3,9,4,10,2,2
10/04/2020 06:05,2,2,7,4,9,2,2
